"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2021 Week 22 ending June 05, 2021"	"2021/22"	56673	Not Applicable	Not Applicable
	"2021 Week 23 ending June 12, 2021"	"2021/23"	56346	Not Applicable	Not Applicable
	"2021 Week 24 ending June 19, 2021"	"2021/24"	56402	Not Applicable	Not Applicable
	"2021 Week 25 ending June 26, 2021"	"2021/25"	56130	Not Applicable	Not Applicable
	"2021 Week 26 ending July 03, 2021"	"2021/26"	56724	Not Applicable	Not Applicable
	"2021 Week 27 ending July 10, 2021"	"2021/27"	56416	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	56393	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	57658	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	59463	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	62837	Not Applicable	Not Applicable
	"2021 Week 32 ending August 14, 2021"	"2021/32"	66132	Not Applicable	Not Applicable
	"2021 Week 33 ending August 21, 2021"	"2021/33"	69017	Not Applicable	Not Applicable
	"2021 Week 34 ending August 28, 2021"	"2021/34"	71174	Not Applicable	Not Applicable
	"2021 Week 35 ending September 04, 2021"	"2021/35"	72576	Not Applicable	Not Applicable
	"2021 Week 36 ending September 11, 2021"	"2021/36"	72788	Not Applicable	Not Applicable
	"2021 Week 37 ending September 18, 2021"	"2021/37"	72345	Not Applicable	Not Applicable
	"2021 Week 38 ending September 25, 2021"	"2021/38"	71231	Not Applicable	Not Applicable
	"2021 Week 39 ending October 02, 2021"	"2021/39"	70491	Not Applicable	Not Applicable
	"2021 Week 40 ending October 09, 2021"	"2021/40"	68256	Not Applicable	Not Applicable
	"2021 Week 41 ending October 16, 2021"	"2021/41"	66739	Not Applicable	Not Applicable
	"2021 Week 42 ending October 23, 2021"	"2021/42"	66235	Not Applicable	Not Applicable
	"2021 Week 43 ending October 30, 2021"	"2021/43"	65661	Not Applicable	Not Applicable
	"2021 Week 44 ending November 06, 2021"	"2021/44"	65851	Not Applicable	Not Applicable
	"2021 Week 45 ending November 13, 2021"	"2021/45"	66682	Not Applicable	Not Applicable
	"2021 Week 46 ending November 20, 2021"	"2021/46"	66160	Not Applicable	Not Applicable
	"2021 Week 47 ending November 27, 2021"	"2021/47"	67168	Not Applicable	Not Applicable
	"2021 Week 48 ending December 04, 2021"	"2021/48"	69418	Not Applicable	Not Applicable
	"2021 Week 49 ending December 11, 2021"	"2021/49"	71359	Not Applicable	Not Applicable
	"2021 Week 50 ending December 18, 2021"	"2021/50"	70568	Not Applicable	Not Applicable
	"2021 Week 51 ending December 25, 2021"	"2021/51"	71473	Not Applicable	Not Applicable
	"2021 Week 52 ending January 01, 2022"	"2021/52"	73533	Not Applicable	Not Applicable
	"2021 Week Not Available"	"2021/99"	255	Not Applicable	Not Applicable
	"2022 Week 01 ending January 08, 2022 (provisional)"	"2022/01"	78984	Not Applicable	Not Applicable
	"2022 Week 02 ending January 15, 2022 (provisional)"	"2022/02"	84262	Not Applicable	Not Applicable
	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	84839	Not Applicable	Not Applicable
	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	84304	Not Applicable	Not Applicable
	"2022 Week 05 ending February 05, 2022 (provisional)"	"2022/05"	80561	Not Applicable	Not Applicable
	"2022 Week 06 ending February 12, 2022 (provisional)"	"2022/06"	76466	Not Applicable	Not Applicable
	"2022 Week 07 ending February 19, 2022 (provisional)"	"2022/07"	70259	Not Applicable	Not Applicable
	"2022 Week 08 ending February 26, 2022 (provisional)"	"2022/08"	65502	Not Applicable	Not Applicable
	"2022 Week 09 ending March 05, 2022 (provisional)"	"2022/09"	63789	Not Applicable	Not Applicable
	"2022 Week 10 ending March 12, 2022 (provisional)"	"2022/10"	61150	Not Applicable	Not Applicable
	"2022 Week 11 ending March 19, 2022 (provisional)"	"2022/11"	59862	Not Applicable	Not Applicable
