"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2004"	"2004"	"Montana"	"30"	1112	278867	398.8
	"2004"	"2004"	"Nebraska"	"31"	1659	475692	348.8
	"2004"	"2004"	"Nevada"	"32"	3157	646493	488.3
	"2004"	"2004"	"New Hampshire"	"33"	1254	402157	311.8
	"2004"	"2004"	"New Jersey"	"34"	9416	2496659	377.1
	"2004"	"2004"	"New Mexico"	"35"	2396	525557	455.9
	"2004"	"2004"	"New York"	"36"	21103	5361044	393.6
	"2004"	"2004"	"North Carolina"	"37"	11446	2379919	480.9
	"2004"	"2004"	"North Dakota"	"38"	548	177322	309.0
	"2004"	"2004"	"Ohio"	"39"	14765	3253012	453.9
	"2004"	"2004"	"Oklahoma"	"40"	5306	957011	554.4
	"2004"	"2004"	"Oregon"	"41"	4192	1029408	407.2
	"2004"	"2004"	"Pennsylvania"	"42"	15424	3567499	432.3
	"2004"	"2004"	"Rhode Island"	"44"	1176	304083	386.7
	"2004"	"2004"	"South Carolina"	"45"	6755	1177320	573.8
	"2004"	"2004"	"South Dakota"	"46"	777	209798	370.4
	"2004"	"2004"	"Tennessee"	"47"	9559	1666166	573.7
	"2004"	"2004"	"Texas"	"48"	25717	5846743	439.9
	"2004"	"2004"	"Utah"	"49"	1827	526191	347.2
	"2004"	"2004"	"Vermont"	"50"	613	193628	316.6
	"2004"	"2004"	"Virginia"	"51"	8548	2164244	395.0
	"2004"	"2004"	"Washington"	"53"	6411	1795066	357.1
	"2004"	"2004"	"West Virginia"	"54"	2901	536602	540.6
	"2004"	"2004"	"Wisconsin"	"55"	5448	1576152	345.7
	"2004"	"2004"	"Wyoming"	"56"	617	151966	406.0
"Total"	"2004"	"2004"			352278	81162732	434.0
	"2005"	"2005"	"Alabama"	"01"	7825	1282614	610.1
	"2005"	"2005"	"Alaska"	"02"	793	203926	388.9
	"2005"	"2005"	"Arizona"	"04"	6913	1499632	461.0
	"2005"	"2005"	"Arkansas"	"05"	4365	754448	578.6
	"2005"	"2005"	"California"	"06"	36903	9645487	382.6
	"2005"	"2005"	"Colorado"	"08"	4820	1345425	358.3
	"2005"	"2005"	"Connecticut"	"09"	3491	1050587	332.3
	"2005"	"2005"	"Delaware"	"10"	1127	238733	472.1
	"2005"	"2005"	"District of Columbia"	"11"	1185	148376	798.6
	"2005"	"2005"	"Florida"	"12"	23857	4957024	481.3
	"2005"	"2005"	"Georgia"	"13"	12487	2463522	506.9
	"2005"	"2005"	"Hawaii"	"15"	1413	367917	384.1
	"2005"	"2005"	"Idaho"	"16"	1362	378108	360.2
	"2005"	"2005"	"Illinois"	"17"	14660	3484974	420.7
	"2005"	"2005"	"Indiana"	"18"	7897	1753711	450.3
	"2005"	"2005"	"Iowa"	"19"	2968	826775	359.0
	"2005"	"2005"	"Kansas"	"20"	3218	758274	424.4
	"2005"	"2005"	"Kentucky"	"21"	6375	1194334	533.8
	"2005"	"2005"	"Louisiana"	"22"	8002	1261173	634.5
	"2005"	"2005"	"Maine"	"23"	1622	413666	392.1
	"2005"	"2005"	"Maryland"	"24"	7330	1659112	441.8
	"2005"	"2005"	"Massachusetts"	"25"	6642	1869248	355.3
	"2005"	"2005"	"Michigan"	"26"	13267	2888006	459.4
	"2005"	"2005"	"Minnesota"	"27"	4661	1472431	316.6
	"2005"	"2005"	"Mississippi"	"28"	5206	783005	664.9
	"2005"	"2005"	"Missouri"	"29"	7857	1627745	482.7
	"2005"	"2005"	"Montana"	"30"	1192	282753	421.6
	"2005"	"2005"	"Nebraska"	"31"	1660	482706	343.9
	"2005"	"2005"	"Nevada"	"32"	3467	672652	515.4
	"2005"	"2005"	"New Hampshire"	"33"	1391	410194	339.1
	"2005"	"2005"	"New Jersey"	"34"	9616	2534899	379.3
	"2005"	"2005"	"New Mexico"	"35"	2567	537064	478.0
	"2005"	"2005"	"New York"	"36"	21084	5420273	389.0
	"2005"	"2005"	"North Carolina"	"37"	11874	2443382	486.0
	"2005"	"2005"	"North Dakota"	"38"	623	179301	347.5
	"2005"	"2005"	"Ohio"	"39"	15407	3294816	467.6
	"2005"	"2005"	"Oklahoma"	"40"	5707	968047	589.5
	"2005"	"2005"	"Oregon"	"41"	4323	1044333	413.9
	"2005"	"2005"	"Pennsylvania"	"42"	16025	3621526	442.5
	"2005"	"2005"	"Rhode Island"	"44"	1165	306889	379.6
	"2005"	"2005"	"South Carolina"	"45"	6899	1202102	573.9
	"2005"	"2005"	"South Dakota"	"46"	838	213407	392.7
	"2005"	"2005"	"Tennessee"	"47"	9937	1699582	584.7
	"2005"	"2005"	"Texas"	"48"	26571	5992647	443.4
	"2005"	"2005"	"Utah"	"49"	1843	540249	341.1
	"2005"	"2005"	"Vermont"	"50"	611	195626	312.3
	"2005"	"2005"	"Virginia"	"51"	9013	2207040	408.4
	"2005"	"2005"	"Washington"	"53"	6717	1827786	367.5
	"2005"	"2005"	"West Virginia"	"54"	3121	541340	576.5
	"2005"	"2005"	"Wisconsin"	"55"	5815	1605586	362.2
	"2005"	"2005"	"Wyoming"	"56"	661	153556	430.5
"Total"	"2005"	"2005"			364373	82706009	440.6
	"2006"	"2006"	"Alabama"	"01"	8073	1303698	619.2
	"2006"	"2006"	"Alaska"	"02"	845	206575	409.1
	"2006"	"2006"	"Arizona"	"04"	7011	1552552	451.6
	"2006"	"2006"	"Arkansas"	"05"	4484	767540	584.2
	"2006"	"2006"	"California"	"06"	37535	9767624	384.3
	"2006"	"2006"	"Colorado"	"08"	4817	1371178	351.3
	"2006"	"2006"	"Connecticut"	"09"	3549	1065114	333.2
	"2006"	"2006"	"Delaware"	"10"	1130	244555	462.1
	"2006"	"2006"	"District of Columbia"	"11"	1149	148605	773.2
	"2006"	"2006"	"Florida"	"12"	24434	5083119	480.7
	"2006"	"2006"	"Georgia"	"13"	12874	2532055	508.4
	"2006"	"2006"	"Hawaii"	"15"	1429	372298	383.8
	"2006"	"2006"	"Idaho"	"16"	1446	388358	372.3
	"2006"	"2006"	"Illinois"	"17"	14751	3522006	418.8
	"2006"	"2006"	"Indiana"	"18"	8361	1777864	470.3
	"2006"	"2006"	"Iowa"	"19"	3067	835645	367.0
	"2006"	"2006"	"Kansas"	"20"	3271	764422	427.9
	"2006"	"2006"	"Kentucky"	"21"	6457	1213845	531.9
	"2006"	"2006"	"Louisiana"	"22"	7408	1211596	611.4
	"2006"	"2006"	"Maine"	"23"	1627	418384	388.9
	"2006"	"2006"	"Maryland"	"24"	7397	1679521	440.4
