"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2022 Week 44 ending November 05, 2022 (provisional)","2022/44",60729,Not Applicable,Not Applicable
,"2022 Week 45 ending November 12, 2022 (provisional)","2022/45",60774,Not Applicable,Not Applicable
,"2022 Week 46 ending November 19, 2022 (provisional)","2022/46",61360,Not Applicable,Not Applicable
,"2022 Week 47 ending November 26, 2022 (provisional)","2022/47",64360,Not Applicable,Not Applicable
,"2022 Week 48 ending December 03, 2022 (provisional)","2022/48",65503,Not Applicable,Not Applicable
,"2022 Week 49 ending December 10, 2022 (provisional)","2022/49",66752,Not Applicable,Not Applicable
,"2022 Week 50 ending December 17, 2022 (provisional)","2022/50",66130,Not Applicable,Not Applicable
,"2022 Week 51 ending December 24, 2022 (provisional)","2022/51",67709,Not Applicable,Not Applicable
,"2022 Week 52 ending December 31, 2022 (provisional)","2022/52",69928,Not Applicable,Not Applicable
,"2022 Week Not Available (provisional)","2022/99",Suppressed,Not Applicable,Not Applicable
,"2023 Week 01 ending January 07, 2023 (provisional)","2023/01",68685,Not Applicable,Not Applicable
,"2023 Week 02 ending January 14, 2023 (provisional)","2023/02",66063,Not Applicable,Not Applicable
,"2023 Week 03 ending January 21, 2023 (provisional)","2023/03",63842,Not Applicable,Not Applicable
,"2023 Week 04 ending January 28, 2023 (provisional)","2023/04",62202,Not Applicable,Not Applicable
,"2023 Week 05 ending February 04, 2023 (provisional)","2023/05",62464,Not Applicable,Not Applicable
,"2023 Week 06 ending February 11, 2023 (provisional)","2023/06",62558,Not Applicable,Not Applicable
,"2023 Week 07 ending February 18, 2023 (provisional)","2023/07",61463,Not Applicable,Not Applicable
,"2023 Week 08 ending February 25, 2023 (provisional)","2023/08",61755,Not Applicable,Not Applicable
,"2023 Week 09 ending March 04, 2023 (provisional)","2023/09",61046,Not Applicable,Not Applicable
,"2023 Week 10 ending March 11, 2023 (provisional)","2023/10",60407,Not Applicable,Not Applicable
,"2023 Week 11 ending March 18, 2023 (provisional)","2023/11",60714,Not Applicable,Not Applicable
,"2023 Week 12 ending March 25, 2023 (provisional)","2023/12",60443,Not Applicable,Not Applicable
,"2023 Week 13 ending April 01, 2023 (provisional)","2023/13",59839,Not Applicable,Not Applicable
,"2023 Week 14 ending April 08, 2023 (provisional)","2023/14",58699,Not Applicable,Not Applicable
,"2023 Week 15 ending April 15, 2023 (provisional)","2023/15",59276,Not Applicable,Not Applicable
,"2023 Week 16 ending April 22, 2023 (provisional)","2023/16",58093,Not Applicable,Not Applicable
,"2023 Week 17 ending April 29, 2023 (provisional)","2023/17",57455,Not Applicable,Not Applicable
,"2023 Week 18 ending May 06, 2023 (provisional)","2023/18",57674,Not Applicable,Not Applicable
,"2023 Week 19 ending May 13, 2023 (provisional)","2023/19",57469,Not Applicable,Not Applicable
,"2023 Week 20 ending May 20, 2023 (provisional)","2023/20",56301,Not Applicable,Not Applicable
,"2023 Week 21 ending May 27, 2023 (provisional)","2023/21",55390,Not Applicable,Not Applicable
,"2023 Week 22 ending June 03, 2023 (provisional)","2023/22",56459,Not Applicable,Not Applicable
,"2023 Week 23 ending June 10, 2023 (provisional)","2023/23",55909,Not Applicable,Not Applicable
,"2023 Week 24 ending June 17, 2023 (provisional)","2023/24",55934,Not Applicable,Not Applicable
,"2023 Week 25 ending June 24, 2023 (provisional)","2023/25",55418,Not Applicable,Not Applicable
,"2023 Week 26 ending July 01, 2023 (provisional)","2023/26",55351,Not Applicable,Not Applicable
,"2023 Week 27 ending July 08, 2023 (provisional)","2023/27",55569,Not Applicable,Not Applicable
,"2023 Week 28 ending July 15, 2023 (provisional)","2023/28",55207,Not Applicable,Not Applicable
,"2023 Week 29 ending July 22, 2023 (provisional)","2023/29",55341,Not Applicable,Not Applicable
,"2023 Week 30 ending July 29, 2023 (provisional)","2023/30",55306,Not Applicable,Not Applicable
,"2023 Week 31 ending August 05, 2023 (provisional)","2023/31",55706,Not Applicable,Not Applicable
,"2023 Week 32 ending August 12, 2023 (provisional)","2023/32",56254,Not Applicable,Not Applicable
,"2023 Week 33 ending August 19, 2023 (provisional)","2023/33",56188,Not Applicable,Not Applicable
,"2023 Week 34 ending August 26, 2023 (provisional)","2023/34",55999,Not Applicable,Not Applicable
,"2023 Week 35 ending September 02, 2023 (provisional)","2023/35",55734,Not Applicable,Not Applicable
,"2023 Week 36 ending September 09, 2023 (provisional)","2023/36",56761,Not Applicable,Not Applicable
,"2023 Week 37 ending September 16, 2023 (provisional)","2023/37",56195,Not Applicable,Not Applicable
,"2023 Week 38 ending September 23, 2023 (provisional)","2023/38",56428,Not Applicable,Not Applicable
,"2023 Week 39 ending September 30, 2023 (provisional)","2023/39",56676,Not Applicable,Not Applicable
,"2023 Week 40 ending October 07, 2023 (provisional)","2023/40",57429,Not Applicable,Not Applicable
,"2023 Week 41 ending October 14, 2023 (provisional)","2023/41",57739,Not Applicable,Not Applicable
,"2023 Week 42 ending October 21, 2023 (provisional)","2023/42",57780,Not Applicable,Not Applicable
,"2023 Week 43 ending October 28, 2023 (provisional)","2023/43",57671,Not Applicable,Not Applicable
,"2023 Week 44 ending November 04, 2023 (provisional)","2023/44",58064,Not Applicable,Not Applicable
,"2023 Week 45 ending November 11, 2023 (provisional)","2023/45",59281,Not Applicable,Not Applicable
,"2023 Week 46 ending November 18, 2023 (provisional)","2023/46",58345,Not Applicable,Not Applicable
,"2023 Week 47 ending November 25, 2023 (provisional)","2023/47",57710,Not Applicable,Not Applicable
,"2023 Week 48 ending December 02, 2023 (provisional)","2023/48",60113,Not Applicable,Not Applicable
